"","filename","type"
"293","PN970_R4_T7_1870z.xml","Religious"
"294","PN970_R4_T9_1847.xml","Religious"
"295","PN970_R4_U5_1870z.xml","Religious"
"296","PN970_R4_W4_1870z.xml","Religious"
"297","PN970_R4_W43_1847.xml","Religious"
"298","PN970_R4_W5_1847.xml","Religious"
"299","PN970_R48_1800z.xml","MetricalTales"
"300","PN970_R87_A3_1830.xml","ProseFiction"
"301","PN970_R87_D4_1840.xml","NurseryRhymes"
"302","PN970_R87_R4_1820.xml","NurseryRhymes"
"303","PN970_R9_P67_1846.xml","RomancesFairyFolk"
"304","PN970_R95_L5_1821.xml","NurseryRhymes"
"305","PN970_S863_B6_1860z.xml","Religious"
"306","PN970_S863_B7_1860z.xml","Religious"
"307","PN970_S863_E5_1856.xml","Religious"
"308","PN970_S863_H3_1860z_003529058.xml","Religious"
"309","PN970_S863_H36_1860z_003529059.xml","Religious"
"310","PN970_S863_H6_1860z.xml","Religious"
"311","PN970_S863_L58_1860z.xml","Religious"
"312","PN970_S863_L588_1860z.xml","Religious"
"313","PN970_S863_M5_1860z.xml","Religious"
"314","PN970_S863_N4_1860z.xml","Religious"
"315","PN970_S863_R4_1860z.xml","Religious"
"316","PN970_S95_R46_1790.xml","TravelAdventure"
"317","PN970_T87_H3_1836.xml","MetricalTales"
"318","PN970_W3_H5_1830.xml","TravelAdventure"
"319","PN970_W3_K6_1829.xml","MetricalTales"
"320","PN970_W3_N8_1813.xml","NurseryRhymes"
"321","PN970_W3_O4_1813.xml","NurseryRhymes"
"322","PN970_W35_N8_1830.xml","NurseryRhymes"
"323","PN970_W37_G6_1865.xml","Religious"
"324","PN970_W37_J4_1865.xml","Religious"
"325","PN970_W37_L5_1865.xml","Religious"
"326","PN970_W457_J37_1800z.xml","Religious"
"327","PN970_W47_B6_1848.xml","Instruction"
"328","PN970_W47_L5_1847.xml","MetricalTales"
"329","PN970_W67_P28_1818.xml","ProseFiction"
"330","PN970_Y6_A53_1854.xml","RomancesFairyFolk"
